Symbol,Name,Market Cap,P/E ttm,EPS ttm,Net Income(a),Beta,Dividend(a),Div Yield
CB,Chubb Ltd,67637944000,23.4,6.4,4454000000,0.67,3.12,2.08%
CBOE,CBOE Global Markets Inc,9999287000,17.54,5.28,374400000,0.63,1.68,1.81%
CBRE,CBRE Group Inc,19932796000,18.89,3.15,1282360000,1.57,0,0.00%
CCI,Crown Castle International Corp,67114288000,26.68,1.6,860000000,0.3,5.32,3.43%
CCL,Carnival Corp,14843701000,0,-4.65,2989000000,2.27,0,0.00%
CDNS,Cadence Design Sys,37973664000,35.26,3.85,988980000,1.05,0,0.00%
CDW,CDW Corp,18279586000,20.12,6.32,736800000,1.1,1.6,1.26%
CE,Celanese Corp,15383381000,16.72,7.53,852000000,1.21,7.44,5.91%
CERN,Cerner Corp,23978402000,32.12,2.42,529450000,0.76,0.88,1.13%
CF,Cf Industries Holdings,8571614000,29.19,1.32,493000000,1.28,1.2,3.11%
CFG,Citizens Financial Group Inc/Ri,15498480000,15.05,2.36,1791000000,1.87,1.56,4.39%
CHD,Church & Dwight Company,21321978000,30.39,2.85,615900000,0.36,0.96,1.11%
CHRW,C.H. Robinson Ww,12439058000,27.49,3.36,576970000,0.64,2.04,2.21%
CHTR,Charter Communicatio,1.27238E+11,50.31,12.86,1668000000,1,0,0.00%
CI,Cigna Corp,73492544000,10.7,19.22,5104000000,0.88,0.04,0.02%
CINF,Cincinnati Financial,13467079000,29.14,2.9,1997000000,0.59,2.4,2.84%
CL,Colgate-Palmolive Company,72447920000,28.02,3.01,2367000000,0.59,1.76,2.09%
CLX,Clorox Company,25211260000,22.32,8.98,939000000,0.21,4.44,2.22%
CMA,Comerica Inc,7900198000,15.29,3.63,1198000000,1.67,2.72,4.90%
CMCSA,Comcast Corp A,2.28675E+11,17.79,2.84,13057000000,0.99,0.92,1.82%
CME,CME Group Inc,64302284000,26.14,6.86,2116500000,0.46,3.4,1.90%
CMG,Chipotle Mexican Grill,37915964000,130.61,10.1,350160000,1.31,0,0.00%
CMI,Cummins Inc,32802792000,19.66,11.26,2260000000,1.09,5.4,2.44%
CMS,Cms Energy Corp,16764856000,21.29,2.8,680000000,0.11,1.63,2.73%
CNC,Centene Corp,35408264000,11.83,5.25,1321000000,0.55,0,0.00%
CNP,Centerpoint Energy Inc,11751789000,14.23,1.5,791000000,0.95,0.6,2.81%
COF,Capital One Financial Corp,45803736000,33.62,2.91,5546000000,1.72,0.4,0.41%
COG,Cabot Oil & Gas Corp,6680201000,34.58,0.48,681070000,0.16,0.4,2.41%
COO,Cooper Companies,17756852000,37.06,9.64,238400000,0.82,0.06,0.02%
COP,Conocophillips,44883524000,0,-0.02,7189000000,1.85,1.72,4.35%
COST,Costco Wholesale,1.66436E+11,40.4,9.41,4002000000,0.66,2.8,0.74%
CPB,Campbell Soup Company,14814011000,15.17,3.2,1628000000,0.51,1.4,2.88%
CPRT,Copart Inc,28366656000,44.52,2.71,699910000,1.03,0,0.00%
CRM,Salesforce.com Inc,2.02691E+11,84.09,2.62,126000000,1.17,0,0.00%
CSCO,Cisco Systems Inc,1.85838E+11,15.53,2.83,11214000000,0.95,1.44,3.28%
CSX,CSX Corp,68432072000,24.44,3.6,3331000000,1.18,1.04,1.18%
CTAS,Cintas Corp,36502616000,38.56,8.91,876040000,1.49,3.51,1.02%
CTLT,Catalent Inc,17265290000,51.1,2.03,173000000,1.5,0,0.00%
CTSH,Cognizant Tech Sol,43189500000,20.79,3.82,1842000000,1.12,0.88,1.11%
CTVA,Corteva Inc,28921520000,25.07,1.53,-959000000,0.82,0.52,1.36%
CTXS,Citrix Systems Inc,15714316000,28.33,4.53,681810000,0.27,1.4,1.09%
CVS,CVS Corp,92226080000,8.81,7.94,6634000000,0.82,2,2.86%
CVX,Chevron Corp,1.62457E+11,65.16,1.3,2924000000,1.33,5.16,6.09%
CXO,Concho Resources Inc,11980494000,13.39,4.31,-705000000,1.98,0.8,1.39%
D,Dominion Resources,59554784000,17.72,4.17,1358000000,0.3,2.52,3.41%
DAL,Delta Air Lines Inc,25222380000,0,-6.54,4767000000,1.45,0,0.00%
DD,Du Pont De.Nemours Inc,54143448000,20.87,3.37,498000000,1.6,1.2,1.71%
DE,Deere & Company,85948648000,30.76,8.7,2751000000,0.96,3.04,1.14%
DFS,Discover Financial Services,27808382000,27.57,3.25,2957000000,1.8,1.76,1.96%
DG,Dollar General Corp,50649056000,20.78,10.09,1712560000,0.52,1.44,0.69%
DGX,Quest Diagnostics Inc,16406414000,14.52,8.34,858000000,1.07,2.24,1.85%
DHI,D.R. Horton,24214882000,10.77,6.25,2373700000,1.7,0.8,1.19%
DHR,Danaher Corp,1.62513E+11,40.66,5.49,3008200000,0.72,0.72,0.32%
DIS,Walt Disney Company,3.23063E+11,88.4,2.01,-2864000000,1.2,0,0.00%
DISCA,Discovery Comm A,15476446000,8.93,3.43,2069000000,1.53,0,0.00%
DISCK,Discovery Comm Inc,13266929000,7.69,3.43,2069000000,1.52,0,0.00%
DISH,Dish Network Corp,16552150000,12.82,2.46,1399510000,2,0,0.00%
DLR,Digital Realty Trust,37250744000,21.72,3.1,579760000,0.1,4.48,3.31%
DLTR,Dollar Tree Inc,25196118000,20.1,5.32,827000000,0.77,0,0.00%
DOV,Dover Corp,17877418000,21.79,5.66,677920000,1.3,1.98,1.61%
DOW,Dow Inc,41389764000,33.57,1.61,-1359000000,1.77,2.8,5.18%
DPZ,Domino's Pizza Inc,15024796000,32.49,11.68,400710000,0.38,3.12,0.82%
DRE,Duke Realty Corp,14297795000,25.78,0.58,428970000,0.53,1.02,2.66%
DRI,Darden Restaurants,15376620000,59.31,1.96,-52400000,1.48,1.2,1.03%
DTE,Dte Energy Company,23037208000,16.7,7.15,1169000000,0.55,4.34,3.64%
DUK,Duke Energy Corp,66052320000,17.94,5,3748000000,0.23,3.86,4.30%
DVA,Davita Healthcare Partners Inc,13053600000,15.66,7.44,810980000,1.3,0,0.00%
DVN,Devon Energy Corp,6640687000,67.21,0.24,-355000000,3.46,0.44,2.73%
DXC,Dxc Technology Company,6838595000,7.85,3.3,-5369000000,2.46,0,0.00%
DXCM,Dexcom,35410324000,107.75,3.32,101100000,0.86,0,0.00%
EA,Electronic Arts Inc,40962168000,30,4.65,3039000000,0.92,0.68,0.49%
EBAY,Ebay Inc,35866308000,17.17,3,1786000000,1.23,0.64,1.24%
ECL,Ecolab Inc,61815968000,46.69,4.59,1558900000,1.01,1.92,0.90%
ED,Consolidated Edison Company of New York,23400580000,16.51,4.28,1343000000,0.11,3.06,4.33%
EFX,Equifax Inc,23097572000,29.37,6.4,-398800000,1.32,1.56,0.83%
EIX,Edison International,23017438000,14.1,4.29,1405000000,0.52,2.65,4.38%
EL,Estee Lauder Companies,93594472000,65.89,3.87,684000000,0.87,2.12,0.83%
EMN,Eastman Chemical Company,13740520000,16.79,5.87,759000000,1.53,2.76,2.80%
EMR,Emerson Electric Company,47424900000,22.55,3.46,1965000000,1.55,2.02,2.59%
EOG,Eog Resources,31455740000,23.74,2.1,2734910000,2.09,1.5,3.01%
EQIX,Equinix Inc,61617592000,28.21,5.1,507450000,0.31,10.64,1.54%
EQR,Equity Residential,21237032000,16.86,2.54,970380000,0.81,2.41,4.19%
ES,Eversource Energy,29181180000,23.81,3.55,909050000,0.28,2.27,2.69%
ESS,Essex Property Trust,14815880000,17.24,9.13,439290000,0.79,8.31,3.64%
ETN,Eaton Corp,47835992000,27.36,4.34,2211000000,1.12,2.92,2.46%
ETR,Entergy Corp,19362532000,17.41,5.63,1258240000,0.5,3.8,3.88%
ETSY,Etsy Inc,22063402000,95.6,1.8,95890000,1.66,0,0.00%
EVRG,Evergy Inc,12167269000,17.12,3.14,669900000,0.35,2.14,3.98%
EW,Edwards Lifesciences Corp,55120056000,48.33,1.84,1046900000,0.97,0,0.00%
EXC,Exelon Corp,40105768000,12.51,3.29,2936000000,0.41,1.53,3.72%
EXPD,Expeditors Intl,15582629000,24.75,3.73,590400000,0.75,1.04,1.13%
EXPE,Expedia Group Inc,19399958000,0,-6.18,565000000,1.74,0,0.00%
EXR,Extra Space Storage Inc,14071106000,21.84,3.38,419970000,0.17,3.6,3.26%
F,Ford Motor Company,34413392000,44.84,0.19,47000000,1.27,0,0.00%
FANG,Diamondback Energy,8478411000,11.79,4.15,240000000,2.59,1.5,3.06%
FAST,Fastenal Company,27715278000,32.64,1.46,790900000,1.21,1,2.10%
FB,Facebook Inc,7.71802E+11,30.63,8.78,18485000000,1.18,0,0.00%
FBHS,Fortune Brands Home & Security,11771455000,21.52,3.94,431900000,1.66,0.96,1.13%
FCX,Freeport-Mcmoran Inc,41217896000,150.78,0.18,-239000000,2.27,0.05,0.18%
FDX,Fedex Corp,67110672000,18.56,13.64,1286000000,1.3,2.6,1.03%
FE,Firstenergy Corp,16190886000,11.26,2.62,912000000,0.2,1.56,5.29%
FFIV,F5 Networks Inc,10919131000,26.29,6.69,307440000,1.13,0,0.00%
FIS,Fidelity National Information Services,84811160000,25.81,5.42,298000000,0.81,1.4,1.00%
FISV,Fiserv Inc,75330416000,26.33,4.25,893000000,0.85,0,0.00%
FITB,Fifth Third Bncp,19669916000,13.89,1.96,2512000000,1.63,1.08,3.97%
FLIR,Flir Systems Inc,6969046000,23.22,2.25,171600000,1.52,0.68,1.30%
FLS,Flowserve Corp,4706403000,18.3,1.9,253670000,1.75,0.8,2.30%
FLT,Fleetcor Technologies,22268336000,24.6,10.81,895070000,1.5,0,0.00%
FMC,FMC Corp,15053110000,17.3,6.54,477400000,1,1.92,1.70%
FOX,Fox Corp Cl B,17274746000,10.04,2.83,999000000,1.34,0.46,1.62%
FOXA,Fox Corp Cl A,17530758000,10.18,2.83,999000000,1.27,0.46,1.60%
FRC,First Republic Bank,25599190000,26.29,5.6,930330000,1.06,0.8,0.54%
FRT,Federal Realty Investment Trust,6249199000,16.55,2.32,353870000,1.07,4.24,5.15%
FTI,Technipfmc Plc,4650894000,57.88,0.17,-2415200000,2.38,0,0.00%
FTNT,Fortinet Inc,23008938000,65.57,2.22,326500000,1.1,0,0.00%
FTV,Fortive Corp,23097928000,20.3,3.39,738900000,1.14,0.28,0.41%
GD,General Dynamics Corp,41900776000,13.24,11.02,3484000000,1.03,4.4,3.01%
GE,General Electric Company,94343832000,61.59,0.17,-4978000000,1.06,0.04,0.38%
GILD,Gilead Sciences Inc,75211672000,10.02,6,5386000000,0.51,2.72,4.53%
GIS,General Mills,36129812000,15.02,3.93,2181200000,0.57,2.04,3.46%
GL,Globe Life Inc,9663443000,13.53,6.83,760790000,1.13,0.75,0.81%
GLW,Corning Inc,27252236000,26.06,1.34,960000000,1.16,0.88,2.52%
GM,General Motors Company,59628288000,13.5,3,6732000000,1.42,0,0.00%
GOOG,Alphabet Cl C,1.1776E+12,33.4,51.75,34343000000,0.98,0,0.00%
GOOGL,Alphabet Cl A,1.17702E+12,33.36,51.75,34343000000,0.99,0,0.00%
GPC,Genuine Parts Company,14335210000,18.86,5.22,621090000,1.05,3.16,3.21%
GPN,Global Payments Inc,61471848000,34.77,5.96,430610000,1.16,0.78,0.38%
GPS,Gap Inc,7387073000,0,-1.73,351000000,1.52,0,0.00%
GRMN,Garmin Ltd,22673058000,25.33,4.69,952490000,0.98,2.44,2.05%
GS,Goldman Sachs Group,93218336000,11.16,23.74,8466000000,1.5,5,1.89%
GWW,W.W. Grainger,21191342000,24.02,16.39,849000000,1.15,6.12,1.55%
HAL,Halliburton Company,18042582000,23.84,0.79,-1131000000,2.81,0.18,0.96%
HAS,Hasbro Inc,12768549000,24.79,3.71,520450000,0.9,2.72,2.96%
HBAN,Huntington Bcshs,13062272000,17.69,0.71,1411000000,1.47,0.6,4.78%
HBI,Hanesbrands Inc,5015866000,9.15,1.58,600720000,1.39,0.6,4.15%
HCA,Hca Holdings Inc,55835256000,18.51,8.84,3505000000,1.59,0.7,0.43%
HD,Home Depot,2.8643E+11,22.83,11.56,11242000000,1.03,6,2.27%
HES,Hess Corp,17362134000,0,-2.96,-408000000,2.23,1,1.89%
HFC,Hollyfrontier Corp,4144395000,72.2,0.35,772390000,1.83,1.4,5.54%
HIG,Hartford Financial Services Group,17189090000,8.86,5.45,2085000000,1.05,1.3,2.69%
HII,Huntington Ingalls Industries,6704021000,10.69,15.34,549000000,0.91,4.56,2.78%
HLT,Hilton Inc,29950298000,90.3,1.19,881000000,1.33,0,0.00%
HOLX,Hologic Inc,19537900000,18.28,4,1115200000,1.27,0,0.00%
HON,Honeywell International Inc,1.46273E+11,29.33,7.09,6143000000,1.13,3.72,1.79%
HPE,Hewlett Packard Enterprise Comp,15237430000,8.57,1.35,-322000000,1.38,0.48,4.15%
HPQ,HP Inc,31544496000,10.62,2.27,2844000000,1.08,0.78,3.22%
HRL,Hormel Foods Corp,24722848000,27.73,1.67,908080000,-0.06,0.93,2.01%
HSIC,Henry Schein Inc,9677357000,22.62,2.94,694730000,0.86,0,0.00%
HST,Host Marriott Financial Trust,9839354000,52.41,-0.83,920000000,1.38,0,0.00%
HSY,Hershey Foods Corp,31373544000,24.82,6.08,1149690000,0.31,3.22,2.13%
HUM,Humana Inc,54680656000,17.68,23.32,2707000000,0.86,2.5,0.61%
HWM,Howmet Aerospace Inc,12101888000,17.91,1.5,470000000,1.98,0,0.00%
IBM,International Business Machines,1.12398E+11,10.96,11.31,9431000000,1.25,6.52,5.26%
ICE,Intercontinental Exchange,63728184000,26.17,4.33,1933000000,0.68,1.2,1.06%
IDXX,Idexx Laboratories,42416280000,85.67,5.74,427720000,0.88,0,0.00%
IEX,Idex Corp,14757370000,37.85,5.16,425520000,1.08,2,1.02%
IFF,International Flavors & Fragrances,11547694000,17.99,5.84,455870000,0.97,3.08,2.93%
ILMN,Illumina Inc,54735400000,73.85,4.98,1002000000,1.14,0,0.00%
INCY,Incyte Corp,18805188000,0,-1.48,446910000,0.96,0,0.00%
INFO,IHS Markit Ltd,35776624000,39.7,2.29,502700000,1.05,0.68,0.75%
INTC,Intel Corp,2.074E+11,9.35,5.31,21048000000,0.74,1.32,2.66%
INTU,Intuit Inc,96919120000,51.77,7.18,1826000000,0.99,2.36,0.63%
IP,International Paper Company,19552546000,15.44,3.14,1225000000,1.1,2.05,4.23%
IPG,Interpublic Group of Companies,9072214000,13.22,1.75,656000000,1.02,1.02,4.41%
IPGP,Ipg Photonics Corp,11750204000,62.17,3.51,180230000,1.48,0,0.00%
IQV,Iqvia Holdings Inc,34384136000,31.93,5.53,191000000,1.41,0,0.00%
IR,Ingersoll Rand Inc,18878052000,0,-0.37,159100000,1.53,0,0.00%
IRM,Iron Mountain Inc,8322378000,12.04,0.93,267380000,0.79,2.47,8.63%
ISRG,Intuitive Surg Inc,94637648000,91.12,8.78,1379300000,0.98,0,0.00%
IT,Gartner Inc,14260028000,35.2,4.49,233290000,1.57,0,0.00%
ITW,Illinois Tool Works Inc,64513104000,30.92,6.57,2521000000,1.07,4.56,2.24%
IVZ,Invesco Plc,8019989000,9.11,1.86,688300000,1.38,0.62,3.66%
J,Jacobs Engineering Group Inc,13928765000,19.36,5.48,491850000,0.9,0.76,0.72%
JBHT,J B Hunt Transport,14591100000,29,4.65,516320000,1,1.08,0.80%
JCI,Johnson Controls Intl,34400112000,20.52,2.25,631000000,1,1.04,2.25%
JKHY,Jack Henry & Assoc,12142639000,40.79,3.89,296670000,0.52,1.72,1.08%
JNJ,Johnson & Johnson,4.16837E+11,19.44,8.05,15119000000,0.7,4.04,2.58%
JNPR,Juniper Networks,7702633000,20.74,1.09,345000000,0.9,0.8,3.54%
JPM,JP Morgan Chase & Company,3.83007E+11,16.45,7.65,36431000000,1.23,3.6,2.86%
K,Kellogg Company,21241464000,15.17,4.05,960000000,0.6,2.28,3.71%
KEY,Keycorp,16160628000,13.92,1.17,1717000000,1.58,0.74,4.54%
KEYS,Keysight Technologies Inc Comm,24906820000,29.88,4.39,627000000,1.04,0,0.00%
KHC,Kraft Heinz Company,41043520000,12.23,2.8,1935000000,1,1.6,4.67%
KIM,Kimco Realty Corp,6232311000,11.65,2.02,410610000,1.46,0.64,4.47%
KLAC,K L A-Tencor Corp,41053928000,23.91,10.89,1216790000,1.26,3.6,1.38%
KMB,Kimberly-Clark Corp,45421888000,17.19,7.76,2157000000,0.5,4.28,3.21%
KMI,Kinder Morgan,31466736000,15.41,0.88,2190000000,0.98,1.05,7.74%
KMX,Carmax Inc,15456995000,19.68,4.74,888430000,1.76,0,0.00%
KO,Coca-Cola Company,2.2424E+11,27.48,1.92,8920000000,0.58,1.64,3.11%
KR,Kroger Company,24286968000,9.95,3.23,1659000000,0.36,0.72,2.24%
KSU,Kansas City Southern,19099486000,29.17,6.89,538900000,0.98,1.76,0.88%
L,Loews Corp,12292320000,20.46,2.17,932000000,0.9,0.25,0.56%
LB,L Brands Inc,11243948000,17.44,2.27,-366000000,1.66,0,0.00%
LDOS,Leidos Holdings Inc,14586478000,17.91,5.72,667000000,1.05,1.36,1.33%
LEG,Leggett & Platt Inc,5690366000,21.14,2.05,333800000,1.42,1.6,3.69%
LEN,Lennar Corp,23051844000,9.63,7.71,2465040000,1.56,1,1.35%
LH,Laboratory Corp of America Holdings,20335172000,12.64,16.21,823800000,1.09,0,0.00%
LHX,L3Harris Technologies Inc,38313924000,15.94,11.32,1333000000,0.8,3.4,1.88%
LIN,Linde Plc,1.37969E+11,33.05,7.83,2285000000,0.78,3.85,1.49%
LKQ,LKQ Corp,10709900000,14.53,2.39,541260000,1.67,0,0.00%
LLY,Eli Lilly and Company,1.59099E+11,23.95,6.91,8318400000,0.37,2.96,1.79%
LMT,Lockheed Martin Corp,97585856000,14.51,23.75,6230000000,0.92,10.4,3.02%
LNC,Lincoln National Corp,9491244000,9.96,4.9,886000000,2.26,1.6,3.28%
LNT,Alliant Energy Corp,12549241000,19.13,2.64,567400000,0.29,1.52,3.01%
LOW,Lowe's Companies,1.1791E+11,19,8.44,4281000000,1.37,2.4,1.50%
LRCX,Lam Research Corp,71219648000,25.92,18.44,2251750000,1.33,5.2,1.09%
LUMN,Centurylink,10894511000,6.39,1.52,-5269000000,1.08,1,10.29%
LUV,Southwest Airlines Company,26940060000,0,-3.83,2300000000,1.23,0,0.00%
LVS,Las Vegas Sands,45401936000,0,-0.87,2698000000,1.35,0,0.00%
LW,Lamb Weston Holdings Inc,11032498000,32.62,2.32,365900000,0.78,0.92,1.22%
LYB,Lyondellbasell Industries NV,30834080000,16.5,5.41,3397000000,1.55,4.2,4.70%
LYV,Live Nation Entertainment,15632424000,0,-6.94,69890000,1.38,0,0.00%
MA,Mastercard Inc,3.46352E+11,52.07,6.75,8118000000,1.19,1.6,0.46%
MAA,Mid-America Apartment Communities,14029768000,19,3.01,353810000,0.66,4,3.26%
MAR,Marriot Int Cl A,40895020000,99.82,1.25,1273000000,1.83,0,0.00%
MAS,Masco Corp,13840044000,18.64,2.88,935000000,1.33,0.56,1.04%
MCD,McDonald's Corp,1.57576E+11,33.26,6.32,6025400000,0.58,5.16,2.45%
MCHP,Microchip Technology,36502112000,25.79,5.32,570600000,1.69,1.47,1.07%
MCK,Mckesson Corp,28195038000,11.15,15.65,900000000,0.94,1.68,0.96%
MCO,Moody's Corp,53406564000,28.54,10.23,1422000000,1.18,2.24,0.77%
MDLZ,Mondelez Intl Inc,82920848000,22.63,2.56,3870000000,0.61,1.26,2.18%
MDT,Medtronic Inc,1.57417E+11,31.7,3.66,4789000000,0.7,2.32,2.00%
MET,Metlife Inc,41982620000,7.53,6.12,5899000000,1.35,1.84,3.99%
MGM,MGM Resorts International,14995989000,0,-2.97,2046430000,2.42,0.01,0.03%
MHK,Mohawk Industries,9867468000,18.05,7.54,744210000,1.54,0,0.00%
MKC,Mccormick & Company Inc,25142732000,33.04,2.86,702700000,0.44,1.36,1.45%
MKTX,Marketaxess Holdings,21040992000,77.52,7.26,204900000,0.41,2.4,0.43%
MLM,Martin Marietta Materials,17490896000,25.96,10.7,611900000,0.69,2.28,0.82%
MMC,Marsh & Mclennan Companies,57170568000,22.84,4.97,1742000000,0.86,1.86,1.64%
MMM,3M Company,98971120000,20.66,8.32,4570000000,0.92,5.88,3.42%
MNST,Monster Beverage Cp,48262168000,40.63,2.23,1107840000,1.11,0,0.00%
MO,Altria Group,75749152000,9.3,4.39,-1293000000,0.54,3.44,8.42%
MOS,Mosaic Company,9306659000,0,-0.01,-1067400000,1.81,0.2,0.84%
MPC,Marathon Petroleum Corp,27385900000,0,-0.93,2637000000,2.24,2.32,5.69%
MRK,Merck & Company,2.05186E+11,14.03,5.77,9843000000,0.43,2.6,3.21%
MRO,Marathon Oil Corp,5880971000,0,-0.97,480000000,3.36,0.12,1.76%
